방식,빌드+풀이시간(s),목적함수(원),이관비용,리드타임페널티,악성재고페널티,변수 스코프
LP(PuLP/CBC),0.897,305578087,171458830,30201077,103918180,"전체 4,410개 (i,j) 조합 재최적화"
휴리스틱(그리디),0.003,371761098,246704844,123275449,1780806,악성재고 128건만 대상 이동
