sku_id,sku_name,storage_type,category,unit_weight_kg,lead_time_day,center_id,region,stock_qty_unit,stock_kg,monthly_outbound_kg,daily_avg_outbound_kg,transfer_in_kg,transfer_out_kg,turnover_kg,safety_stock_kg,center_capa_kg,capa_utilization_pct
351702,351702 상품,냉동,가공식품,1.05,1,1,수도권,865.0,908.25,1726.2,57.54,0.0,3239.4,1.901,28.77,1464585.2,63.94
429762,429762 상품,냉동,가공식품,0.25,2,1,수도권,2898.0,724.5,1723.5,57.45,18.0,1121.0,2.379,57.45,1464585.2,63.94
437525,437525 상품,냉동,가공식품,2.0,7,1,수도권,0.0,0.0,1720.0,57.333,1730.0,0.0,,200.67,1464585.2,63.94
437293,437293 상품,냉장,가공식품,0.04,10,1,수도권,0.0,0.0,1716.0,57.2,1716.0,7.0,,286.0,1464585.2,63.94
435503,435503 상품,냉장,가공식품,2.0,14,1,수도권,0.0,0.0,1710.0,57.0,1710.0,0.0,,399.0,1464585.2,63.94
428501,428501 상품,냉동,가공식품,0.7,5,1,수도권,2579.0,1805.3,1703.8,56.793,0.0,6408.0,0.944,141.98,1464585.2,63.94
377690,377690 상품,냉동,가공식품,1.4,1,1,수도권,336.0,470.4,1701.0,56.7,0.0,2872.8,3.616,28.35,1464585.2,63.94
435348,435348 상품,냉동,축산물,1.0,10,1,수도권,0.0,0.0,1700.0,56.667,1785.0,85.0,,283.33,1464585.2,63.94
401531,401531 상품,냉동,가공식품,15.0,7,1,수도권,0.0,0.0,1695.0,56.5,1695.0,0.0,,197.75,1464585.2,63.94
135659,135659 상품,실온,가공식품,1.0,1,1,수도권,355.0,355.0,1693.0,56.433,0.0,149.0,4.769,28.22,1464585.2,63.94
437319,437319 상품,냉장,가공식품,1.0,10,1,수도권,0.0,0.0,1688.0,56.267,1693.0,4.0,,281.33,1464585.2,63.94
108361,108361 상품,실온,가공식품,3.0,1,1,수도권,0.0,0.0,1686.0,56.2,1734.0,27.0,,28.1,1464585.2,63.94
239195,239195 상품,실온,가공식품,2.05,3,1,수도권,0.0,0.0,1681.0,56.033,1681.0,0.0,,84.05,1464585.2,63.94
106807,106807 상품,실온,가공식품,18.0,1,1,수도권,0.0,0.0,1674.0,55.8,1674.0,0.0,,27.9,1464585.2,63.94
436528,436528 상품,냉장,가공식품,10.0,2,1,수도권,262.0,2620.0,1670.0,55.667,10.0,2910.0,0.637,55.67,1464585.2,63.94
133376,133376 상품,실온,가공식품,16.506,1,1,수도권,0.0,0.0,1667.106,55.57,1700.0,0.0,,27.79,1464585.2,63.94
234499,234499 상품,실온,가공식품,3.0,3,1,수도권,2256.0,6768.0,1647.0,54.9,24.0,4332.0,0.243,82.35,1464585.2,63.94
100732,100732 상품,실온,가공식품,0.25,1,1,수도권,7290.0,1822.5,1642.5,54.75,23.0,4696.5,0.901,27.38,1464585.2,63.94
434307,434307 상품,냉동,수산물,0.08,7,1,수도권,0.0,0.0,1632.0,54.4,1632.0,0.0,,190.4,1464585.2,63.94
136971,136971 상품,실온,가공식품,10.0,1,1,수도권,36.0,360.0,1630.0,54.333,0.0,430.0,4.528,27.17,1464585.2,63.94
448390,448390 상품,실온,가공식품,3.0,3,1,수도권,0.0,0.0,1623.0,54.1,1623.0,0.0,,81.15,1464585.2,63.94
426121,426121 상품,냉동,가공식품,1.8,4,1,수도권,862.0,1551.6000000000001,1618.2,53.94,108.0,3387.0,1.043,107.88,1464585.2,63.94
362664,362664 상품,냉장,가공식품,4.0,1,1,수도권,176.0,704.0,1612.0,53.733,4.0,2740.0,2.29,26.87,1464585.2,63.94
138323,138323 상품,실온,가공식품,9.0,1,1,수도권,70.0,630.0,1611.0,53.7,0.0,63.0,2.557,26.85,1464585.2,63.94
362529,362529 상품,실온,가공식품,14.0,1,1,수도권,0.0,0.0,1610.0,53.667,1610.0,0.0,,26.83,1464585.2,63.94
701347,701347 상품,냉동,CK제품,5.0,14,1,수도권,81.0,405.0,1605.0,53.5,5.0,0.0,3.963,374.5,1464585.2,63.94
393478,393478 상품,실온,가공식품,5.0,15,1,수도권,688.0,3440.0,1600.0,53.333,0.0,3780.0,0.465,400.0,1464585.2,63.94
432614,432614 상품,실온,가공식품,1.0,3,1,수도권,0.0,0.0,1597.0,53.233,1597.0,0.0,,79.85,1464585.2,63.94
141752,141752 상품,실온,가공식품,3.0,1,1,수도권,333.0,999.0,1596.0,53.2,6.0,3828.0,1.598,26.6,1464585.2,63.94
243128,243128 상품,냉동,가공식품,0.75,5,1,수도권,549.0,411.75,1590.75,53.025,118.0,829.0,3.863,132.56,1464585.2,63.94
114583,114583 상품,실온,가공식품,2.0,6,1,수도권,0.0,0.0,1586.0,52.867,1586.0,0.0,,158.6,1464585.2,63.94
426946,426946 상품,냉동,가공식품,6.8,1,1,수도권,332.0,2257.6,1584.4,52.813,0.0,7132.6,0.702,26.41,1464585.2,63.94
143383,143383 상품,실온,가공식품,2.0,4,1,수도권,0.0,0.0,1584.0,52.8,1584.0,0.0,,105.6,1464585.2,63.94
428541,428541 상품,냉동,농산물,1.0,3,1,수도권,0.0,0.0,1580.0,52.667,1580.0,0.0,,79.0,1464585.2,63.94
285483,285483 상품,실온,농산물,10.0,1,1,수도권,95.0,950.0,1580.0,52.667,20.0,5290.0,1.663,26.33,1464585.2,63.94
237766,237766 상품,실온,가공식품,3.0,2,1,수도권,0.0,0.0,1575.0,52.5,1578.0,6.0,,52.5,1464585.2,63.94
450118,450118 상품,냉동,가공식품,1.0,2,1,수도권,0.0,0.0,1574.0,52.467,1574.0,0.0,,52.47,1464585.2,63.94
347858,347858 상품,실온,가공식품,2.0,3,1,수도권,0.0,0.0,1566.0,52.2,1572.0,0.0,,78.3,1464585.2,63.94
