상품코드,센터,재고량_최소단위,재고량_kg,월출고량_kg,이체유입_kg,이체유출_kg,회전율_kg(출고kg/재고kg)
396370,2,0.0,0.0,6288.0,6304.0,16.0,
449508,2,58240.0,6988.8,6491.52,31.200000000000003,25805.0,0.929
436027,2,0.0,0.0,10290.0,10290.0,0.0,
336083,2,0.0,0.0,11340.0,11340.0,0.0,
441404,2,0.0,0.0,6108.84,6125.88,17.0,
438895,2,2.0,15.6,7597.2,7597.2,0.0,487.0
197095,2,5350.0,5350.0,9980.0,0.0,27460.0,1.865
342003,2,416.0,4160.0,8320.0,0.0,6470.0,2.0
219674,2,69.0,1380.0,5720.0,280.0,10240.0,4.145
437323,2,0.0,0.0,4500.0,4512.5,13.0,
126988,2,0.0,0.0,8396.0,8428.0,32.0,
262993,2,1715.0,17150.0,6710.0,0.0,8180.0,0.391
449440,2,0.0,0.0,3380.0,3380.0,0.0,
391060,2,0.0,0.0,4376.0,4376.0,0.0,
437604,2,162.0,3240.0,4140.0,80.0,28280.0,1.278
440408,2,0.0,0.0,6220.0,6220.0,0.0,
372666,2,260.0,1820.0,7490.0,7.0,4802.0,4.115
140173,2,903.0,9030.0,5200.0,640.0,9070.0,0.576
385646,2,748.0,2124.3199999999997,1729.56,79.52,8852.0,0.814
135871,2,89.0,1469.034,2211.804,0.0,1156.0,1.506
112751,2,6672.0,3336.0,1560.0,312.0,16596.0,0.468
106931,2,99.0,1782.0,4554.0,36.0,3204.0,2.556
370881,2,0.0,0.0,6390.0,6390.0,0.0,
437297,2,0.0,0.0,3200.0,3200.0,0.0,
436021,2,0.0,0.0,4248.0,4260.0,12.0,
257722,2,0.0,0.0,479.64,479.64,0.0,
460323,2,217.0,4340.0,4320.0,0.0,0.0,0.995
437602,2,158.0,2686.0,2176.0,289.0,15861.0,0.81
278773,2,945.0,2835.0,3267.0,0.0,19656.0,1.152
140182,2,158.0,3160.0,3620.0,0.0,3260.0,1.146
442343,2,0.0,0.0,400.0,400.0,0.0,
387242,2,0.0,0.0,3874.0,3904.0,30.0,
437320,2,0.0,0.0,2795.0,2795.0,0.0,
162985,2,201.0,4221.0,3444.0,0.0,210.0,0.816
223855,2,0.0,0.0,6460.0,6620.0,160.0,
387749,2,0.0,0.0,6.0,6.0,0.0,
455667,2,0.0,0.0,3614.0,3614.0,0.0,
453109,2,0.0,0.0,7460.0,7460.0,0.0,
344480,2,0.0,0.0,3658.0,3658.0,0.0,
431177,2,0.0,0.0,4692.0,4752.0,48.0,
437322,2,0.0,0.0,2035.2,2035.1999999999998,0.0,
225862,2,0.0,0.0,1226.5,1259.5,32.0,
392443,2,0.0,0.0,4108.0,4109.0,0.0,
435569,2,0.0,0.0,1740.0,1740.0,0.0,
387120,2,0.0,0.0,4109.1,4109.4,6.0,
424613,2,0.0,0.0,2779.0,2783.0,0.0,
438712,2,0.0,0.0,2370.0,2370.0,0.0,
424365,2,0.0,0.0,2628.0,2664.0,36.0,
168657,2,0.0,0.0,2700.0,2700.0,0.0,
138365,2,0.0,0.0,3867.5,3872.5,4.0,
427473,2,0.0,0.0,4738.0,4738.0,0.0,
436007,2,379.0,5306.0,4368.0,84.0,21490.0,0.823
116945,2,2350.0,6932.5,5259.85,109.15,13653.0,0.759
389547,2,452.0,8136.0,3708.0,18.0,17100.0,0.456
100965,2,7520.0,3760.0,2580.0,160.0,5290.0,0.686
122935,2,502.0,1480.9,3256.8,35.400000000000006,10718.0,2.199
431372,2,352.0,3520.0,950.0,0.0,13010.0,0.27
337229,2,0.0,0.0,3108.0,3124.8,8.0,
138271,2,0.0,0.0,3663.75,3676.25,10.0,
294614,2,0.0,0.0,3264.0,3332.0,68.0,
457579,2,0.0,0.0,4919.2,4929.6,10.0,
345674,2,346.0,1107.2,2979.2,3.2,15280.0,2.691
