sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg_heuristic,변화_kg
262993,1,실온,0.0,0.0,0.0
262993,2,실온,17150.0,17150.0,0.0
262993,4,실온,0.0,0.0,0.0
262993,5,실온,9830.0,9830.0,0.0
449440,1,냉장,0.0,0.0,0.0
449440,2,냉장,0.0,4458.83,4458.83
449440,4,냉장,0.0,0.0,0.0
449440,5,냉장,4600.0,141.17,-4458.83
391060,1,냉동,1350.0,1350.0,0.0
391060,2,냉동,0.0,0.0,0.0
391060,3,냉동,6158.0,6158.0,0.0
391060,4,냉동,5844.0,5844.0,0.0
391060,5,냉동,0.0,0.0,0.0
437604,1,실온,0.0,0.0,0.0
437604,2,실온,3240.0,3240.0,0.0
437604,4,실온,0.0,0.0,0.0
437604,5,실온,0.0,0.0,0.0
440408,1,냉장,5620.0,5620.0,0.0
440408,2,냉장,0.0,0.0,0.0
440408,4,냉장,0.0,0.0,0.0
440408,5,냉장,0.0,0.0,0.0
372666,1,실온,1967.0,1967.0,0.0
372666,2,실온,1820.0,1820.0,0.0
372666,4,실온,1624.0,1624.0,0.0
372666,5,실온,0.0,0.0,0.0
140173,1,실온,0.0,0.0,0.0
140173,2,실온,9030.0,9030.0,0.0
140173,4,실온,0.0,0.0,0.0
140173,5,실온,4770.0,4770.0,0.0
385646,1,실온,2485.0,2485.0,0.0
385646,2,실온,2124.32,2124.32,0.0
385646,4,실온,0.0,0.0,0.0
385646,5,실온,0.0,0.0,0.0
135871,1,실온,4060.48,4060.48,0.0
135871,2,실온,1469.03,1469.03,0.0
135871,4,실온,0.0,0.0,0.0
135871,5,실온,1370.0,1370.0,0.0
112751,1,실온,0.0,0.0,0.0
112751,2,실온,3336.0,3336.0,0.0
112751,4,실온,0.0,0.0,0.0
112751,5,실온,0.0,0.0,0.0
106931,1,실온,1854.0,1854.0,0.0
106931,2,실온,1782.0,1782.0,0.0
106931,4,실온,1854.0,1854.0,0.0
106931,5,실온,0.0,0.0,0.0
370881,1,냉장,7400.0,7400.0,0.0
370881,2,냉장,0.0,0.0,0.0
370881,4,냉장,2260.0,2260.0,0.0
370881,5,냉장,0.0,0.0,0.0
437297,1,냉장,0.0,0.0,0.0
437297,2,냉장,0.0,0.0,0.0
437297,4,냉장,3330.0,3330.0,0.0
437297,5,냉장,0.0,0.0,0.0
436021,1,냉동,2244.0,2244.0,0.0
436021,2,냉동,0.0,0.0,0.0
436021,3,냉동,0.0,0.0,0.0
436021,4,냉동,0.0,0.0,0.0
436021,5,냉동,0.0,0.0,0.0
257722,1,실온,3013.08,3013.08,0.0
257722,2,실온,0.0,0.0,0.0
257722,4,실온,0.0,0.0,0.0
257722,5,실온,0.0,0.0,0.0
460323,1,실온,4160.0,4160.0,0.0
460323,2,실온,4340.0,4340.0,0.0
460323,4,실온,0.0,0.0,0.0
460323,5,실온,0.0,0.0,0.0
437602,1,실온,0.0,0.0,0.0
437602,2,실온,2686.0,2686.0,0.0
437602,4,실온,0.0,0.0,0.0
437602,5,실온,0.0,0.0,0.0
278773,1,실온,0.0,0.0,0.0
278773,2,실온,2835.0,2835.0,0.0
278773,4,실온,0.0,0.0,0.0
278773,5,실온,0.0,0.0,0.0
140182,1,실온,5100.0,5100.0,0.0
140182,2,실온,3160.0,3160.0,0.0
140182,4,실온,0.0,0.0,0.0
140182,5,실온,2020.0,2020.0,0.0
442343,1,실온,0.0,0.0,0.0
442343,2,실온,0.0,0.0,0.0
442343,4,실온,7340.0,7340.0,0.0
442343,5,실온,0.0,0.0,0.0
387242,1,냉동,1180.0,1180.0,0.0
387242,2,냉동,0.0,0.0,0.0
387242,3,냉동,0.0,0.0,0.0
387242,4,냉동,1862.0,1862.0,0.0
387242,5,냉동,0.0,0.0,0.0
437320,1,냉동,2865.0,2865.0,0.0
437320,2,냉동,0.0,0.0,0.0
437320,3,냉동,2480.0,2480.0,0.0
437320,4,냉동,0.0,0.0,0.0
437320,5,냉동,60.0,60.0,0.0
162985,1,실온,3759.0,3759.0,0.0
162985,2,실온,4221.0,4221.0,0.0
162985,4,실온,0.0,0.0,0.0
162985,5,실온,2814.0,2814.0,0.0
223855,1,실온,1340.0,1340.0,0.0
223855,2,실온,0.0,0.0,0.0
223855,4,실온,1860.0,1860.0,0.0
223855,5,실온,0.0,0.0,0.0
387749,1,냉동,0.0,0.0,0.0
387749,2,냉동,0.0,0.0,0.0
387749,3,냉동,0.0,0.0,0.0
387749,4,냉동,753.0,753.0,0.0
387749,5,냉동,0.0,0.0,0.0
455667,1,실온,4797.0,4797.0,0.0
455667,2,실온,0.0,0.0,0.0
455667,4,실온,0.0,0.0,0.0
455667,5,실온,0.0,0.0,0.0
453109,1,실온,0.0,0.0,0.0
453109,2,실온,0.0,0.0,0.0
453109,4,실온,11280.0,11280.0,0.0
453109,5,실온,0.0,0.0,0.0
344480,1,냉동,1598.0,1598.0,0.0
344480,2,냉동,0.0,0.0,0.0
344480,3,냉동,1764.0,1764.0,0.0
344480,4,냉동,1272.0,1272.0,0.0
344480,5,냉동,0.0,0.0,0.0
431177,1,냉동,10212.0,10212.0,0.0
431177,2,냉동,0.0,0.0,0.0
431177,3,냉동,0.0,0.0,0.0
431177,4,냉동,0.0,0.0,0.0
431177,5,냉동,0.0,0.0,0.0
437322,1,냉동,480.0,480.0,0.0
437322,2,냉동,0.0,0.0,0.0
437322,3,냉동,2265.6,2265.6,0.0
437322,4,냉동,0.0,0.0,0.0
437322,5,냉동,163.2,163.2,0.0
225862,1,냉동,2831.5,2831.5,0.0
225862,2,냉동,0.0,0.0,0.0
225862,3,냉동,0.0,0.0,0.0
225862,4,냉동,0.0,0.0,0.0
225862,5,냉동,0.0,0.0,0.0
392443,1,냉장,3226.0,3226.0,0.0
392443,2,냉장,0.0,0.0,0.0
392443,4,냉장,0.0,0.0,0.0
392443,5,냉장,0.0,0.0,0.0
435569,1,냉동,0.0,7820.0,7820.0
435569,2,냉동,0.0,0.0,0.0
435569,3,냉동,0.0,0.0,0.0
435569,4,냉동,0.0,0.0,0.0
435569,5,냉동,7880.0,60.0,-7820.0
387120,1,냉동,0.0,0.0,0.0
387120,2,냉동,0.0,0.0,0.0
387120,3,냉동,0.0,0.0,0.0
387120,4,냉동,4464.0,4464.0,0.0
387120,5,냉동,0.0,0.0,0.0
424613,1,냉동,1905.0,1905.0,0.0
424613,2,냉동,0.0,0.0,0.0
424613,3,냉동,0.0,0.0,0.0
424613,4,냉동,0.0,0.0,0.0
424613,5,냉동,0.0,0.0,0.0
438712,1,냉동,0.0,0.0,0.0
438712,2,냉동,0.0,0.0,0.0
438712,3,냉동,0.0,0.0,0.0
438712,4,냉동,2830.0,2830.0,0.0
438712,5,냉동,0.0,0.0,0.0
424365,1,냉동,1536.0,1536.0,0.0
424365,2,냉동,0.0,0.0,0.0
424365,3,냉동,648.0,648.0,0.0
424365,4,냉동,228.0,228.0,0.0
424365,5,냉동,0.0,0.0,0.0
168657,1,실온,1760.0,1760.0,0.0
168657,2,실온,0.0,0.0,0.0
168657,4,실온,2280.0,2280.0,0.0
168657,5,실온,0.0,0.0,0.0
138365,1,냉동,971.25,971.25,0.0
138365,2,냉동,0.0,0.0,0.0
138365,3,냉동,2263.75,2263.75,0.0
138365,4,냉동,0.0,0.0,0.0
138365,5,냉동,2927.5,2927.5,0.0
427473,1,냉동,5376.0,5376.0,0.0
427473,2,냉동,0.0,0.0,0.0
427473,3,냉동,2008.0,2008.0,0.0
427473,4,냉동,5952.0,5952.0,0.0
427473,5,냉동,0.0,0.0,0.0
436007,1,실온,0.0,0.0,0.0
436007,2,실온,5306.0,5306.0,0.0
436007,4,실온,0.0,0.0,0.0
436007,5,실온,0.0,0.0,0.0
116945,1,실온,1362.9,1362.9,0.0
116945,2,실온,6932.5,6932.5,0.0
116945,4,실온,0.0,0.0,0.0
116945,5,실온,0.0,0.0,0.0
389547,1,실온,0.0,0.0,0.0
389547,2,실온,8136.0,8136.0,0.0
389547,4,실온,0.0,0.0,0.0
